نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,أصحاب سابقون,إضافات,النوع,سنة الاصدار,سعر السيارة بالشيكل
0,4,0,1,0.13424780751068136,00000000000000,0,1,0,0,26,0.2727272727272682,0.01640724485628018
0,4,0,0,0.1454913424780751,22000,0,0,0,0,593,0.890909090909097,0.06596235013334828
0,4,0,0,0.1454913424780751,99999,0,1,0,0,374,0.8181818181818188,0.05895455746790431
1,4,0,0,0.1679784124128626,99999,0,0,0,0,390,0.8000000000000028,0.09399352079512417
0,4,0,1,0.15673487744546885,99999,2,1,2,2,183,0.5818181818181826,0.028921160330287278
1,4,0,1,0.1679784124128626,150000,0,0,0,0,390,0.8181818181818188,0.11401578555353552
1,4,0,2,0.21295255228243762,29000,0,0,0,0,598,0.8545454545454579,0.10800910612601211
0,4,0,0,0.1679784124128626,123457,2,0,2,2,592,0.7090909090909087,0.04093451918533409
1,4,0,0,0.1679784124128626,٢٥٠٠٠٠,0,1,0,0,379,0.8000000000000028,0.0839823884159185
0,4,0,0,0.1679784124128626,140000,0,1,0,0,320,0.7090909090909087,0.031423943425088696
0,4,0,0,0.1454913424780751,122000,0,1,0,0,27,0.6545454545454537,0.032425056663009266
1,4,0,0,0.1679784124128626,99999,0,0,0,0,379,0.8181818181818188,0.09599574727096531
1,4,0,0,0.21295255228243762,99999,1,1,1,1,598,0.7818181818181869,0.0839823884159185
0,4,0,1,0.1286260400269845,78000,0,1,0,0,341,0.8181818181818188,0.043937858899095794
0,4,0,0,0.15673487744546885,00000,0,0,0,0,180,0.5272727272727276,0.01991114118900217
0,4,0,1,0.11176073757589387,99999,0,0,0,0,231,0.2909090909090913,0.009900008809796492
1,5,0,1,0.26917022711940636,99999,0,1,0,0,339,0.5999999999999985,0.043937858899095794
1,4,0,1,0.21295255228243762,99999,0,0,0,0,537,0.5818181818181826,0.018910027951081602
0,4,0,1,0.1454913424780751,22000,0,1,0,0,27,0.8727272727272739,0.05545066113518232
